#id	AI名称	稀有度	等级	类型	职类	战斗AI									
105	格斗AI LV6	1	6	0	140	8,0,1209	104,2,402	0,2,405							
106	格斗AI LV7	1	7	0	140	8,0,1209	104,2,402	0,2,406							
107	格斗AI LV8	1	8	0	140	8,0,1209	104,2,402	0,2,407							
108	格斗AI LV9	1	9	0	140	8,0,1209	104,2,402	0,2,408							
109	格斗AI LV10	1	10	0	140	8,0,1209	104,2,402	0,2,409							
110	合击血少-通用	1	1	0	-1	8,0,1209	0,6,-100								
111	合击血多-通用	1	1	0	-1	8,0,1209	0,4,-100								
112	英雄防御-通用	1	1	0	-1	8,0,1209	0,0,-200								
113	宠物合击血少	1	1	1	-1	8,0,1209	0,6,-100								
114	宠物合击血多	1	1	1	-1	8,0,1209	0,4,-100								
115	宠物防御	1	1	1	-1	8,0,1209	0,0,-200								
116	宠物乾坤LV1	1	1	1	-1	8,0,1209	0,2,301								
117	宠物乾坤LV2	1	3	1	-1	8,0,1209	0,2,303								
118	宠物乾坤LV3	1	5	1	-1	8,0,1209	0,2,305								
119	宠物乾坤LV4	1	7	1	-1	8,0,1209	0,2,307								
120	宠物乾坤LV5	1	9	1	-1	8,0,1209	0,2,309								
121	宠物连击LV1	1	1	1	-1	8,0,1209	0,2,1								
122	宠物连击LV2	1	3	1	-1	8,0,1209	0,2,3								
123	宠物连击LV3	1	5	1	-1	8,0,1209	0,2,5								
124	宠物连击LV4	1	7	1	-1	8,0,1209	0,2,7								
125	宠物连击LV5	1	9	1	-1	8,0,1209	0,2,9								
126	宠物崩击	1	1	1	-1	8,0,1209	0,2,503								
127	宠物护卫	1	1	1	-1	8,0,1209	0,7,704								
128	地属性魔法LV1	1	1	1	-1	8,4,3100	102,2,1900	0,2,2700							
129	地属性魔法LV2	1	2	1	-1	8,4,3101	102,2,1901	0,2,2701							
130	地属性魔法LV3	1	3	1	-1	8,4,3102	102,2,1902	0,2,2702							
131	地属性魔法LV4	1	4	1	-1	8,4,3103	102,2,1903	0,2,2703							
132	地属性魔法LV5	1	5	1	-1	8,4,3104	102,2,1904	0,2,2704							
133	地属性魔法LV6	1	6	1	-1	8,4,3105	102,2,1905	0,2,2705							
134	地属性魔法LV7	1	7	1	-1	8,4,3106	102,2,1906	0,2,2706							
135	地属性魔法LV8	1	8	1	-1	8,4,3107	102,2,1907	0,2,2707							
136	地属性魔法LV9	1	9	1	-1	8,4,3108	102,2,1908	0,2,2708							
137	地属性魔法LV10	1	10	1	-1	8,4,3109	102,2,1909	0,2,2709							
138	水属性魔法LV1	1	1	1	-1	8,4,3100	102,2,2000	0,2,2800							
139	水属性魔法LV2	1	2	1	-1	8,4,3101	102,2,2001	0,2,2801							
140	水属性魔法LV3	1	3	1	-1	8,4,3102	102,2,2002	0,2,2802							
141	水属性魔法LV4	1	4	1	-1	8,4,3103	102,2,2003	0,2,2803							
142	水属性魔法LV5	1	5	1	-1	8,4,3104	102,2,2004	0,2,2804							
143	水属性魔法LV6	1	6	1	-1	8,4,3105	102,2,2005	0,2,2805							
144	水属性魔法LV7	1	7	1	-1	8,4,3106	102,2,2006	0,2,2806							
145	水属性魔法LV8	1	8	1	-1	8,4,3107	102,2,2007	0,2,2807							
146	水属性魔法LV9	1	9	1	-1	8,4,3108	102,2,2008	0,2,2808							
147	水属性魔法LV10	1	10	1	-1	8,4,3109	102,2,2009	0,2,2809							
148	火属性魔法LV1	1	1	1	-1	8,4,3100	102,2,2100	0,2,2900							
149	火属性魔法LV2	1	2	1	-1	8,4,3101	102,2,2101	0,2,2901							
150	火属性魔法LV3	1	3	1	-1	8,4,3102	102,2,2102	0,2,2902							
151	火属性魔法LV4	1	4	1	-1	8,4,3103	102,2,2103	0,2,2903							
152	火属性魔法LV5	1	5	1	-1	8,4,3104	102,2,2104	0,2,2904							
153	火属性魔法LV6	1	6	1	-1	8,4,3105	102,2,2105	0,2,2905							
154	火属性魔法LV7	1	7	1	-1	8,4,3106	102,2,2106	0,2,2906							
155	火属性魔法LV8	1	8	1	-1	8,4,3107	102,2,2107	0,2,2907							
156	火属性魔法LV9	1	9	1	-1	8,4,3108	102,2,2108	0,2,2908							
157	火属性魔法LV10	1	10	1	-1	8,4,3109	102,2,2109	0,2,2909							
158	风属性魔法LV1	1	1	1	-1	8,4,3100	102,2,2200	0,2,3000							
159	风属性魔法LV2	1	2	1	-1	8,4,3101	102,2,2201	0,2,3001							
160	风属性魔法LV3	1	3	1	-1	8,4,3102	102,2,2202	0,2,3002							
161	风属性魔法LV4	1	4	1	-1	8,4,3103	102,2,2203	0,2,3003							
162	风属性魔法LV5	1	5	1	-1	8,4,3104	102,2,2204	0,2,3004							
163	风属性魔法LV6	1	6	1	-1	8,4,3105	102,2,2205	0,2,3005							
164	风属性魔法LV7	1	7	1	-1	8,4,3106	102,2,2206	0,2,3006							
165	风属性魔法LV8	1	8	1	-1	8,4,3107	102,2,2207	0,2,3007							
166	风属性魔法LV9	1	9	1	-1	8,4,3108	102,2,2208	0,2,3008							
167	风属性魔法LV10	1	10	1	-1	8,4,3109	102,2,2209	0,2,3009							
